PROLIFIC_PID,total_score,familiar_person_score,sunrise_score,shop_front_score,countryside_score,driving_score,beach_score,railway_station_score,garden_score,total_score_z,familiar_person_z,sunrise_z,shop_front_z,countryside_z,driving_z,beach_z,railway_station_z,garden_z,excluded,exclusion_reason
649d257f5e8bfe6ee264e160,120.0,16,20,16,16,13,15,10.0,14.0,0.15323131676996826,0.3466757319273314,1.3967301869189255,0.2293923568406904,0.4375059248830004,-0.1641437834215463,0.2796379175673056,-1.0477543413947221,-0.28973931498276934,False,
6778cbf3f0597689c7b5cb4a,147.0,20,15,20,16,19,17,20.0,20.0,1.362676675785776,1.5739875185206433,-0.07090387957612428,1.380090172914513,0.4375059248830004,1.4223505249624355,0.858458338338341,1.4671173633245298,1.4808898321341535,False,
673594215b1a0b92d5835525,142.0,20,20,18,17,14,17,20.0,16.0,1.1387053130050708,1.5739875185206433,1.3967301869189255,0.8047412648776018,0.7220325821126542,0.10027193464245067,0.858458338338341,1.4671173633245298,0.30047040072287157,False,
672a89bc5e3d67a9fdbdf803,115.0,17,14,16,14,10,12,16.0,16.0,-0.07074004601073686,0.6535036785756594,-0.3644306928751342,0.2293923568406904,-0.13154738957630735,-0.9573909376135373,-0.5885927135892475,0.46116868143682904,0.30047040072287157,False,
5d76d2f7daf4bf00164d585b,117.0,16,18,18,12,11,12,15.0,15.0,0.01884849910154519,0.3466757319273314,0.8096765603209055,0.8047412648776018,-0.700600704035615,-0.6929752195495403,-0.5885927135892475,0.20968151096490387,0.005365542870051119,False,
65d563ecf8df20ade2f17888,35.0,4,7,4,4,4,4,4.0,4.0,-3.654281850502019,-3.3352596278526043,-2.4191183859682037,-3.2227010913807774,-2.9768139618728457,-2.543885245997519,-2.903874396673389,-2.5566773642262732,-3.240787893510974,False,
671609ab4a3f2c6c76dfe9d8,100.0,12,14,14,13,10,12,13.0,12.0,-0.7426541343528522,-0.8806360546659805,-0.3644306928751342,-0.34595655119622093,-0.4160740468059612,-0.9573909376135373,-0.5885927135892475,-0.29329282997894657,-0.8799490306884102,False,
6501c0a2e788b5556c24569d,83.0,10,10,10,12,9,9,11.0,12.0,-1.5041567678072498,-1.4942919479626364,-1.538537946071174,-1.4966543672700436,-0.700600704035615,-1.2218066556775342,-1.4568233447458006,-0.796267170922797,-0.8799490306884102,False,
6788f11866ac65cc607b3c6a,142.0,17,20,19,17,15,18,18.0,18.0,1.1387053130050708,0.6535036785756594,1.3967301869189255,1.0924157188960575,0.7220325821126542,0.36468765270644765,1.1478685487238587,0.9641430223806795,0.8906801164285125,False,
67896d4bcf7daeb9b9c6945e,134.0,15,15,18,18,19,15,16.0,18.0,0.7803511325559427,0.03984778527900344,-0.07090387957612428,0.8047412648776018,1.0065592393423082,1.4223505249624355,0.2796379175673056,0.46116868143682904,0.8906801164285125,False,
67896102d98295a520a25ebb,99.0,10,14,13,10,10,12,17.0,13.0,-0.7874484069089933,-1.4942919479626364,-0.3644306928751342,-0.6336310052146765,-1.2696540184949228,-0.9573909376135373,-0.5885927135892475,0.7126558519087542,-0.5848441728355898,False,
6772e011adc3bb3fd579cdb9,115.0,16,16,13,14,14,15,13.0,14.0,-0.07074004601073686,0.3466757319273314,0.22262293372288566,-0.6336310052146765,-0.13154738957630735,0.10027193464245067,0.2796379175673056,-0.29329282997894657,-0.28973931498276934,False,
6739ff11a2162a865c36fa64,109.0,18,14,16,16,12,13,8.0,12.0,-0.339505681347583,0.9603316252239874,-0.3644306928751342,0.2293923568406904,0.4375059248830004,-0.42855950148554334,-0.29918250320372974,-1.5507286823385726,-0.8799490306884102,False,
67094b39bddd9489c48cdc8f,82.0,13,10,20,8,5,7,4.0,15.0,-1.5489510403633908,-0.5738081080176526,-1.538537946071174,1.380090172914513,-1.8387073329542305,-2.2794695279335224,-2.035643765516836,-2.5566773642262732,0.005365542870051119,False,
6743c8da977b0d274dad1fc2,131.0,19,16,18,16,16,14,16.0,16.0,0.6459683148875196,1.2671595718723154,0.22262293372288566,0.8047412648776018,0.4375059248830004,0.6291033707704446,-0.009772292818212064,0.46116868143682904,0.30047040072287157,False,
662848c40caa342b28493265,135.0,19,14,20,16,15,15,18.0,18.0,0.8251454051120837,1.2671595718723154,-0.3644306928751342,1.380090172914513,0.4375059248830004,0.36468765270644765,0.2796379175673056,0.9641430223806795,0.8906801164285125,False,
67860774acf7592ed65861bb,121.0,17,13,17,10,15,12,20.0,17.0,0.1980255893261093,0.6535036785756594,-0.6579575061741442,0.5170668108591461,-1.2696540184949228,0.36468765270644765,-0.5885927135892475,1.4671173633245298,0.595575258575692,False,
6759fef1b173fb9839ebe137,114.0,14,14,15,13,15,16,16.0,11.0,-0.11553431856687789,-0.26698016136932456,-0.3644306928751342,-0.05828209717776525,-0.4160740468059612,0.36468765270644765,0.5690481279528233,0.46116868143682904,-1.1750538885412307,False,
671d48bbee99c1439ae0d0de,75.0,10,7,7,12,7,8,10.0,14.0,-1.862510948256378,-1.4942919479626364,-2.4191183859682037,-2.3596777293254103,-0.700600704035615,-1.7506380918055282,-1.7462335551313182,-1.0477543413947221,-0.28973931498276934,False,
6500aa732c4f0eb077f8c809,78.0,14,6,11,7,10,11,9.0,10.0,-1.7281281305879548,-0.26698016136932456,-2.7126451992672136,-1.208979913251588,-2.123233990183884,-0.9573909376135373,-0.8780029239747651,-1.2992415118666474,-1.4701587463940513,False,
5ac5260dfa3b4e0001736dd3,104.0,13,12,14,11,16,13,11.0,14.0,-0.5634770441282881,-0.5738081080176526,-0.951484319473154,-0.34595655119622093,-0.9851273612652689,0.6291033707704446,-0.29918250320372974,-0.796267170922797,-0.28973931498276934,False,
6646abc0720d1baaa7e0af4c,152.0,19,14,19,20,20,20,20.0,20.0,1.5866480385664812,1.2671595718723154,-0.3644306928751342,1.0924157188960575,1.5756125538016157,1.6867662430264325,1.726688969494894,1.4671173633245298,1.4808898321341535,False,
676a8044ed42478d4ef6493e,139.0,17,15,18,20,18,18,16.0,17.0,1.0043224953366479,0.6535036785756594,-0.07090387957612428,0.8047412648776018,1.5756125538016157,1.1579348068984385,1.1478685487238587,0.46116868143682904,0.595575258575692,False,
67343fb98c1f4f89ea821878,126.0,15,16,16,17,14,16,16.0,16.0,0.4219969521068144,0.03984778527900344,0.22262293372288566,0.2293923568406904,0.7220325821126542,0.10027193464245067,0.5690481279528233,0.46116868143682904,0.30047040072287157,False,
674b47940b75eb06298f0c67,110.0,15,10,17,14,14,14,14.0,12.0,-0.294711408791442,0.03984778527900344,-1.538537946071174,0.5170668108591461,-0.13154738957630735,0.10027193464245067,-0.009772292818212064,-0.04180565950702135,-0.8799490306884102,False,
6711263a9c4a226969aeb686,147.0,18,19,18,14,20,19,19.0,20.0,1.362676675785776,0.9603316252239874,1.1032033736199154,0.8047412648776018,-0.13154738957630735,1.6867662430264325,1.4372787591093763,1.2156301928526048,1.4808898321341535,False,
6787c530d8f7650e446d17a1,118.0,16,12,16,12,14,16,16.0,16.0,0.06364277165768621,0.3466757319273314,-0.951484319473154,0.2293923568406904,-0.700600704035615,0.10027193464245067,0.5690481279528233,0.46116868143682904,0.30047040072287157,False,
678e46af9bf54902d3db189f,74.0,7,13,9,8,11,9,9.0,8.0,-1.907305220812519,-2.4147757879076206,-0.6579575061741442,-1.7843288212884991,-1.8387073329542305,-0.6929752195495403,-1.4568233447458006,-1.2992415118666474,-2.0603684620996923,False,
62e029ff528ea30b4508eaf5,110.0,13,16,15,14,15,14,10.0,13.0,-0.294711408791442,-0.5738081080176526,0.22262293372288566,-0.05828209717776525,-0.13154738957630735,0.36468765270644765,-0.009772292818212064,-1.0477543413947221,-0.5848441728355898,False,
673a37f0ad04c995c8322ca6,74.0,10,10,7,8,10,9,13.0,7.0,-1.907305220812519,-1.4942919479626364,-1.538537946071174,-2.3596777293254103,-1.8387073329542305,-0.9573909376135373,-1.4568233447458006,-0.29329282997894657,-2.3554733199525124,False,
674f479b2a4ef75e4551f258,134.0,18,16,15,18,14,17,18.0,18.0,0.7803511325559427,0.9603316252239874,0.22262293372288566,-0.05828209717776525,1.0065592393423082,0.10027193464245067,0.858458338338341,0.9641430223806795,0.8906801164285125,False,
5d634b27e5f92f0017196a3f,120.0,15,12,12,12,19,17,16.0,17.0,0.15323131676996826,0.03984778527900344,-0.951484319473154,-0.9213054592331322,-0.700600704035615,1.4223505249624355,0.858458338338341,0.46116868143682904,0.595575258575692,False,
668d44c46cb23976673acd95,160.0,20,20,20,20,20,20,20.0,20.0,1.9450022190156093,1.5739875185206433,1.3967301869189255,1.380090172914513,1.5756125538016157,1.6867662430264325,1.726688969494894,1.4671173633245298,1.4808898321341535,True,Excluded by criteria
663b638be7226d4e3fcc255f,55.0,11,8,10,4,4,6,8.0,4.0,-2.7583963993791984,-1.1874640013143085,-2.125591572669194,-1.4966543672700436,-2.9768139618728457,-2.543885245997519,-2.3250539759023536,-1.5507286823385726,-3.240787893510974,False,
6734c8a6c51b8aee49adbd1b,129.0,16,14,18,14,15,16,19.0,17.0,0.5563797697752375,0.3466757319273314,-0.3644306928751342,0.8047412648776018,-0.13154738957630735,0.36468765270644765,0.5690481279528233,1.2156301928526048,0.595575258575692,False,
6752092030f55f6f6a50df9e,148.0,20,13,20,15,20,20,20.0,20.0,1.407470948341917,1.5739875185206433,-0.6579575061741442,1.380090172914513,0.15297926765334652,1.6867662430264325,1.726688969494894,1.4671173633245298,1.4808898321341535,False,
678969200a76abe09fd2a75c,112.0,15,15,14,15,11,11,14.0,17.0,-0.20512286367915994,0.03984778527900344,-0.07090387957612428,-0.34595655119622093,0.15297926765334652,-0.6929752195495403,-0.8780029239747651,-0.04180565950702135,0.595575258575692,False,
66564c348f25a6749f79a714,108.0,9,17,14,12,14,12,14.0,16.0,-0.38429995390372407,-1.8011198946109646,0.5161497470218955,-0.34595655119622093,-0.700600704035615,0.10027193464245067,-0.5885927135892475,-0.04180565950702135,0.30047040072287157,False,
5dac4dad5e53cc001499f1f6,122.0,15,16,16,16,16,15,12.0,16.0,0.24281986188225033,0.03984778527900344,0.22262293372288566,0.2293923568406904,0.4375059248830004,0.6291033707704446,0.2796379175673056,-0.5447800004508717,0.30047040072287157,False,
564e93659b124900127eb55b,112.0,11,17,12,13,14,18,12.0,15.0,-0.20512286367915994,-1.1874640013143085,0.5161497470218955,-0.9213054592331322,-0.4160740468059612,0.10027193464245067,1.1478685487238587,-0.5447800004508717,0.005365542870051119,False,
672d053f3563ff089759a66f,128.0,17,20,16,16,14,15,14.0,16.0,0.5115854972190965,0.6535036785756594,1.3967301869189255,0.2293923568406904,0.4375059248830004,0.10027193464245067,0.2796379175673056,-0.04180565950702135,0.30047040072287157,False,
66b0103854c074757187d029,112.0,19,14,20,12,16,8,11.0,12.0,-0.20512286367915994,1.2671595718723154,-0.3644306928751342,1.380090172914513,-0.700600704035615,0.6291033707704446,-1.7462335551313182,-0.796267170922797,-0.8799490306884102,False,
66969c9921e4f92ad108ed4c,118.0,11,20,12,17,16,16,11.0,15.0,0.06364277165768621,-1.1874640013143085,1.3967301869189255,-0.9213054592331322,0.7220325821126542,0.6291033707704446,0.5690481279528233,-0.796267170922797,0.005365542870051119,False,
6710e7d85362bdd95a82bcbf,108.0,11,17,13,11,9,18,13.0,16.0,-0.38429995390372407,-1.1874640013143085,0.5161497470218955,-0.6336310052146765,-0.9851273612652689,-1.2218066556775342,1.1478685487238587,-0.29329282997894657,0.30047040072287157,False,
5b19f4854c72120001f1e1b3,113.0,17,15,15,13,13,12,13.0,15.0,-0.16032859112301892,0.6535036785756594,-0.07090387957612428,-0.05828209717776525,-0.4160740468059612,-0.1641437834215463,-0.5885927135892475,-0.29329282997894657,0.005365542870051119,False,
6773fd82b205d22a2e097d3f,118.0,16,14,14,14,14,16,15.0,15.0,0.06364277165768621,0.3466757319273314,-0.3644306928751342,-0.34595655119622093,-0.13154738957630735,0.10027193464245067,0.5690481279528233,0.20968151096490387,0.005365542870051119,False,
669284eabea5b8c9655927da,132.0,17,17,16,16,16,18,16.0,16.0,0.6907625874436606,0.6535036785756594,0.5161497470218955,0.2293923568406904,0.4375059248830004,0.6291033707704446,1.1478685487238587,0.46116868143682904,0.30047040072287157,False,
61052deed380657fcbe37682,138.0,14,20,18,17,19,17,17.0,16.0,0.9595282227805068,-0.26698016136932456,1.3967301869189255,0.8047412648776018,0.7220325821126542,1.4223505249624355,0.858458338338341,0.7126558519087542,0.30047040072287157,False,
6740f034985ba328ea9bacbf,130.0,18,16,15,16,19,15,16.0,15.0,0.6011740423313785,0.9603316252239874,0.22262293372288566,-0.05828209717776525,0.4375059248830004,1.4223505249624355,0.2796379175673056,0.46116868143682904,0.005365542870051119,False,
677bbed2d896aee8efecb51d,123.0,11,6,17,16,18,18,17.0,20.0,0.28761413443839134,-1.1874640013143085,-2.7126451992672136,0.5170668108591461,0.4375059248830004,1.1579348068984385,1.1478685487238587,0.7126558519087542,1.4808898321341535,False,
6779f13fe54a982becaa1b3f,87.0,10,10,12,12,9,11,10.0,13.0,-1.3249796775826856,-1.4942919479626364,-1.538537946071174,-0.9213054592331322,-0.700600704035615,-1.2218066556775342,-0.8780029239747651,-1.0477543413947221,-0.5848441728355898,False,
6764736f0048fc3595fbb944,94.0,14,15,15,12,7,6,10.0,15.0,-1.0114197696896985,-0.26698016136932456,-0.07090387957612428,-0.05828209717776525,-0.700600704035615,-1.7506380918055282,-2.3250539759023536,-1.0477543413947221,0.005365542870051119,False,
67880bb68accd49a72b45565,116.0,17,16,13,14,13,14,14.0,15.0,-0.025945773454595835,0.6535036785756594,0.22262293372288566,-0.6336310052146765,-0.13154738957630735,-0.1641437834215463,-0.009772292818212064,-0.04180565950702135,0.005365542870051119,False,
671e39c25e5e3f340a6f21d4,96.0,12,12,14,12,9,10,14.0,13.0,-0.9218312245774164,-0.8806360546659805,-0.951484319473154,-0.34595655119622093,-0.700600704035615,-1.2218066556775342,-1.1674131343602827,-0.04180565950702135,-0.5848441728355898,False,
57dd186e6598aa0001992616,118.0,14,17,16,16,15,14,11.0,15.0,0.06364277165768621,-0.26698016136932456,0.5161497470218955,0.2293923568406904,0.4375059248830004,0.36468765270644765,-0.009772292818212064,-0.796267170922797,0.005365542870051119,False,
66463ff40a36377060b19272,98.0,14,12,11,12,13,12,11.0,13.0,-0.8322426794651343,-0.26698016136932456,-0.951484319473154,-1.208979913251588,-0.700600704035615,-0.1641437834215463,-0.5885927135892475,-0.796267170922797,-0.5848441728355898,False,
66625801c143ca548bcac338,118.0,17,17,12,12,16,14,11.0,19.0,0.06364277165768621,0.6535036785756594,0.5161497470218955,-0.9213054592331322,-0.700600704035615,0.6291033707704446,-0.009772292818212064,-0.796267170922797,1.185784974281333,False,
676866e58c692de18dac2de9,114.0,14,14,17,12,12,13,13.0,19.0,-0.11553431856687789,-0.26698016136932456,-0.3644306928751342,0.5170668108591461,-0.700600704035615,-0.42855950148554334,-0.29918250320372974,-0.29329282997894657,1.185784974281333,False,
676e81c9c452593cbf114baf,135.0,19,13,19,16,16,17,17.0,18.0,0.8251454051120837,1.2671595718723154,-0.6579575061741442,1.0924157188960575,0.4375059248830004,0.6291033707704446,0.858458338338341,0.7126558519087542,0.8906801164285125,False,
6738acfff83934e21342c109,138.0,16,16,16,19,17,14,20.0,20.0,0.9595282227805068,0.3466757319273314,0.22262293372288566,0.2293923568406904,1.291085896571962,0.8935190888344416,-0.009772292818212064,1.4671173633245298,1.4808898321341535,False,
60a48adfe091e410f4eaba34,146.0,20,16,16,20,19,16,19.0,20.0,1.317882403229635,1.5739875185206433,0.22262293372288566,0.2293923568406904,1.5756125538016157,1.4223505249624355,0.5690481279528233,1.2156301928526048,1.4808898321341535,False,
6786d027b56713ac675fbbb1,160.0,20,20,20,20,20,20,20.0,20.0,1.9450022190156093,1.5739875185206433,1.3967301869189255,1.380090172914513,1.5756125538016157,1.6867662430264325,1.726688969494894,1.4671173633245298,1.4808898321341535,False,
672ba9e5dbe3b9649ad3864d,111.0,10,8,18,16,12,13,20.0,14.0,-0.24991713623530096,-1.4942919479626364,-2.125591572669194,0.8047412648776018,0.4375059248830004,-0.42855950148554334,-0.29918250320372974,1.4671173633245298,-0.28973931498276934,False,
6761e9f88b9ec3f7f3d16c01,78.0,10,10,11,9,9,10,10.0,9.0,-1.7281281305879548,-1.4942919479626364,-1.538537946071174,-1.208979913251588,-1.5541806757245766,-1.2218066556775342,-1.1674131343602827,-1.0477543413947221,-1.7652636042468717,False,
677a8ed897bc0e0f12d23e86,113.0,12,15,13,16,12,15,15.0,15.0,-0.16032859112301892,-0.8806360546659805,-0.07090387957612428,-0.6336310052146765,0.4375059248830004,-0.42855950148554334,0.2796379175673056,0.20968151096490387,0.005365542870051119,False,
66f8367b5310ebb97346b93c,97.0,10,18,13,17,7,12,5.0,15.0,-0.8770369520212753,-1.4942919479626364,0.8096765603209055,-0.6336310052146765,0.7220325821126542,-1.7506380918055282,-0.5885927135892475,-2.305190193754348,0.005365542870051119,False,
677c4a2cd686c6b6cfd1ba2a,110.0,15,12,12,13,13,11,16.0,18.0,-0.294711408791442,0.03984778527900344,-0.951484319473154,-0.9213054592331322,-0.4160740468059612,-0.1641437834215463,-0.8780029239747651,0.46116868143682904,0.8906801164285125,False,
5f4d3cb5fdda0b2c403fb801,145.0,19,19,17,20,18,17,16.0,19.0,1.273088130673494,1.2671595718723154,1.1032033736199154,0.5170668108591461,1.5756125538016157,1.1579348068984385,0.858458338338341,0.46116868143682904,1.185784974281333,False,
67196116a2212bed3b93f4dc,106.0,18,13,16,10,9,14,14.0,12.0,-0.4738884990160061,0.9603316252239874,-0.6579575061741442,0.2293923568406904,-1.2696540184949228,-1.2218066556775342,-0.009772292818212064,-0.04180565950702135,-0.8799490306884102,False,
669be65b7f0c1a71305969d1,111.0,13,15,14,11,15,14,15.0,14.0,-0.24991713623530096,-0.5738081080176526,-0.07090387957612428,-0.34595655119622093,-0.9851273612652689,0.36468765270644765,-0.009772292818212064,0.20968151096490387,-0.28973931498276934,False,
6779e07aeb6a0e66e84ae0e7,86.0,11,11,5,12,13,9,10.0,15.0,-1.3697739501388266,-1.1874640013143085,-1.245011132772164,-2.9350266373623217,-0.700600704035615,-0.1641437834215463,-1.4568233447458006,-1.0477543413947221,0.005365542870051119,False,
678434b875eab5b07a505724,124.0,17,20,16,11,14,17,11.0,18.0,0.3324084069945324,0.6535036785756594,1.3967301869189255,0.2293923568406904,-0.9851273612652689,0.10027193464245067,0.858458338338341,-0.796267170922797,0.8906801164285125,False,
67851f4cba98f2087f182764,138.0,15,16,17,18,16,19,18.0,19.0,0.9595282227805068,0.03984778527900344,0.22262293372288566,0.5170668108591461,1.0065592393423082,0.6291033707704446,1.4372787591093763,0.9641430223806795,1.185784974281333,False,
655f9f56990f2a2d957b1cad,124.0,14,19,17,14,16,15,13.0,16.0,0.3324084069945324,-0.26698016136932456,1.1032033736199154,0.5170668108591461,-0.13154738957630735,0.6291033707704446,0.2796379175673056,-0.29329282997894657,0.30047040072287157,False,
615b01ee4cd1755b6144e0a4,121.0,15,13,18,17,12,19,15.0,12.0,0.1980255893261093,0.03984778527900344,-0.6579575061741442,0.8047412648776018,0.7220325821126542,-0.42855950148554334,1.4372787591093763,0.20968151096490387,-0.8799490306884102,False,
6766dee165ff1cc0f8decea0,110.0,16,12,15,13,13,12,17.0,12.0,-0.294711408791442,0.3466757319273314,-0.951484319473154,-0.05828209717776525,-0.4160740468059612,-0.1641437834215463,-0.5885927135892475,0.7126558519087542,-0.8799490306884102,False,
67826c0cd5858c9d420da7ff,125.0,17,12,15,14,15,15,19.0,18.0,0.3772026795506734,0.6535036785756594,-0.951484319473154,-0.05828209717776525,-0.13154738957630735,0.36468765270644765,0.2796379175673056,1.2156301928526048,0.8906801164285125,False,
65f9200b96211e5163eb912e,132.0,16,14,16,17,17,17,16.0,19.0,0.6907625874436606,0.3466757319273314,-0.3644306928751342,0.2293923568406904,0.7220325821126542,0.8935190888344416,0.858458338338341,0.46116868143682904,1.185784974281333,False,
671d2c608d56f868207f9e9e,131.0,14,14,16,17,19,15,18.0,18.0,0.6459683148875196,-0.26698016136932456,-0.3644306928751342,0.2293923568406904,0.7220325821126542,1.4223505249624355,0.2796379175673056,0.9641430223806795,0.8906801164285125,False,
67628bf652610e40de8a09e8,113.0,11,20,12,15,12,15,15.0,13.0,-0.16032859112301892,-1.1874640013143085,1.3967301869189255,-0.9213054592331322,0.15297926765334652,-0.42855950148554334,0.2796379175673056,0.20968151096490387,-0.5848441728355898,False,
67842352fc58491ff1f4de9d,128.0,18,16,18,15,17,11,19.0,14.0,0.5115854972190965,0.9603316252239874,0.22262293372288566,0.8047412648776018,0.15297926765334652,0.8935190888344416,-0.8780029239747651,1.2156301928526048,-0.28973931498276934,False,
65d863e56337aa59292ccd66,120.0,19,14,20,12,10,17,13.0,15.0,0.15323131676996826,1.2671595718723154,-0.3644306928751342,1.380090172914513,-0.700600704035615,-0.9573909376135373,0.858458338338341,-0.29329282997894657,0.005365542870051119,False,
65cba5349f4e1e5dfbe80fe8,130.0,17,17,18,17,16,16,12.0,17.0,0.6011740423313785,0.6535036785756594,0.5161497470218955,0.8047412648776018,0.7220325821126542,0.6291033707704446,0.5690481279528233,-0.5447800004508717,0.595575258575692,False,
673e759016f888e8212c0c1f,136.0,16,19,14,17,17,17,17.0,19.0,0.8699396776682247,0.3466757319273314,1.1032033736199154,-0.34595655119622093,0.7220325821126542,0.8935190888344416,0.858458338338341,0.7126558519087542,1.185784974281333,False,
610b002738dd01f26e493999,115.0,10,16,10,18,15,14,17.0,15.0,-0.07074004601073686,-1.4942919479626364,0.22262293372288566,-1.4966543672700436,1.0065592393423082,0.36468765270644765,-0.009772292818212064,0.7126558519087542,0.005365542870051119,False,
590ffed3f128850001ada77b,108.0,15,14,15,12,10,9,18.0,15.0,-0.38429995390372407,0.03984778527900344,-0.3644306928751342,-0.05828209717776525,-0.700600704035615,-0.9573909376135373,-1.4568233447458006,0.9641430223806795,0.005365542870051119,False,
6773f03382962d5d8c2ca38a,125.0,16,15,15,16,15,16,16.0,16.0,0.3772026795506734,0.3466757319273314,-0.07090387957612428,-0.05828209717776525,0.4375059248830004,0.36468765270644765,0.5690481279528233,0.46116868143682904,0.30047040072287157,False,
67438c306d8298ec577da281,112.0,17,10,15,15,11,12,14.0,18.0,-0.20512286367915994,0.6535036785756594,-1.538537946071174,-0.05828209717776525,0.15297926765334652,-0.6929752195495403,-0.5885927135892475,-0.04180565950702135,0.8906801164285125,False,
5ec0ba1bfa01894cceaa1b8e,104.0,12,14,15,12,13,12,12.0,14.0,-0.5634770441282881,-0.8806360546659805,-0.3644306928751342,-0.05828209717776525,-0.700600704035615,-0.1641437834215463,-0.5885927135892475,-0.5447800004508717,-0.28973931498276934,False,
64143c6c286640f3d1348cf8,88.0,9,12,11,12,8,12,12.0,12.0,-1.2801854050265447,-1.8011198946109646,-0.951484319473154,-1.208979913251588,-0.700600704035615,-1.4862223737415312,-0.5885927135892475,-0.5447800004508717,-0.8799490306884102,False,
64012a2623351894f2917605,88.0,12,11,16,10,7,8,13.0,11.0,-1.2801854050265447,-0.8806360546659805,-1.245011132772164,0.2293923568406904,-1.2696540184949228,-1.7506380918055282,-1.7462335551313182,-0.29329282997894657,-1.1750538885412307,False,
677fe9d3bafd440269d2ef89,128.0,18,12,17,17,15,17,15.0,17.0,0.5115854972190965,0.9603316252239874,-0.951484319473154,0.5170668108591461,0.7220325821126542,0.36468765270644765,0.858458338338341,0.20968151096490387,0.595575258575692,False,
6747d17ec4d287d32e597fa9,82.0,11,11,14,7,7,7,10.0,15.0,-1.5489510403633908,-1.1874640013143085,-1.245011132772164,-0.34595655119622093,-2.123233990183884,-1.7506380918055282,-2.035643765516836,-1.0477543413947221,0.005365542870051119,False,
66e28103f28d6e15a3f4f1f0,149.0,17,20,19,20,19,17,18.0,19.0,1.452265220898058,0.6535036785756594,1.3967301869189255,1.0924157188960575,1.5756125538016157,1.4223505249624355,0.858458338338341,0.9641430223806795,1.185784974281333,False,
6738d09a032bf7224008ce7e,148.0,18,20,19,18,18,18,19.0,18.0,1.407470948341917,0.9603316252239874,1.3967301869189255,1.0924157188960575,1.0065592393423082,1.1579348068984385,1.1478685487238587,1.2156301928526048,0.8906801164285125,False,
